county,office,district,candidate,party,election_day,absentee,votes
Kent,Registered Voters,,,,,,501117
Kent,Ballots Cast,,,,149409,214286,363695
Kent,Straight Party,,Republican Party,REP,51596,106518,54922
Kent,Straight Party,,Democratic Party,DEM,71771,103259,31488
Kent,Straight Party,,Libertarian Party,LIB,629,1512,883
Kent,Straight Party,,Working Class Party,WCP,297,766,469
Kent,Straight Party,,Green Party,GRN,229,483,254
Kent,Straight Party,,US Taxpayers Party,UST,131,287,156
Kent,Straight Party,,Natural Law Party,NLP,73,181,108
Kent,President,,Joseph R. Biden w/ Kamala D. Harris,DEM,132533,187915,55382
Kent,President,,Donald J. Trump w/ Michael R. Pence,REP,76362,165741,89379
Kent,President,,Jo Jorgensen w/ Jeremy Cohen,LIB,2596,5495,2899
Kent,President,,Howie Hawkins w/ Angela Walker,GRN,524,957,433
Kent,President,,Don Blankenship w/ William Mohr,UST,312,490,178
Kent,President,,Rocky De La Fuente w/ Darcy Richardson,NLP,119,241,122
Kent,President,,Total Votes,,213089,36203,148942
Kent,U.S. Senate,,John James,REP,83738,176795,93057
Kent,U.S. Senate,,Gary Peters,DEM,123899,175256,51357
Kent,U.S. Senate,,Marcia Squier,GRN,1652,2956,1304
Kent,U.S. Senate,,Valerie L. Willis,UST,1616,2948,1332
Kent,U.S. Senate,,Doug Dern,NLP,372,722,350
Kent,U.S. House,2,Bill Huizenga,REP,20209,43403,23194
Kent,U.S. House,2,Bryan Berghoef,DEM,27254,40212,12958
Kent,U.S. House,2,Max Riekse,LIB,503,1314,811
Kent,U.S. House,2,Jean-Michel Creviere,GRN,365,709,344
Kent,U.S. House,2,Gerald T. Van Sickle,UST,203,459,256
Kent,U.S. House,3,Hillary Scholten,DEM,96455,136587,40132
Kent,U.S. House,3,Peter Meijer,REP,65028,133337,68309
Kent,State House,72,Lily Cheng-Schulting,DEM,14566,20984,6418
Kent,State House,72,Steven Johnson,REP,10316,20277,9961
Kent,State House,73,Bryan Posthumus,REP,18612,37137,18525
Kent,State House,73,Bill Saxton,DEM,20928,27178,6250
Kent,State House,73,Theodore Gerrard,UST,402,877,475
Kent,State House,74,Mark E. Huizenga,REP,15729,34068,18339
Kent,State House,74,Meagan L. Hintz,DEM,13784,19897,6113
Kent,State House,75,David LaGrand,DEM,19388,30423,11035
Kent,State House,75,James McKeiver,REP,3213,8315,5102
Kent,State House,75,Louis Palus,WCP,514,1234,720
Kent,State House,75,Marco T. Bulnes,GRN,407,798,391
Kent,State House,76,Rachel Hood,DEM,23946,33887,9941
Kent,State House,76,Doug Zandstra,REP,9864,20111,10247
Kent,State House,77,Tommy Brann,REP,14566,30215,15649
Kent,State House,77,Bob Smith,DEM,13021,20195,7174
Kent,State House,86,Thomas A. Albert,REP,14701,28302,13601
Kent,State House,86,Sue Hayes,DEM,12941,16970,4029
Manistee,Registered Voters,,,,,,21962
Manistee,Ballots Cast,,,,,,15462
Manistee,Straight Party,,Democratic Party,DEM,1141,2541,1400
Manistee,Straight Party,,Republican Party,REP,1061,4338,3277
Manistee,Straight Party,,Libertarian Party,LIB,19,53,34
Manistee,Straight Party,,U.S. Taxpayers Party,UST,6,21,15
Manistee,Straight Party,,Working Class Party,WCP,11,49,38
Manistee,Straight Party,,Green Party,GRN,4,15,11
Manistee,Straight Party,,Natural Law Party,NLP,5,11,6
Manistee,President,,Joseph R. Biden / Kamala D. Harris,DEM,2731,6107,3376
Manistee,President,,Donald J. Trump / Michael R. Pence,REP,2125,8321,6196
Manistee,President,,Jo Jorgensen / Jeremy Cohen,LIB,54,154,100
Manistee,President,,Don Blankenship / William Mohr,UST,11,28,17
Manistee,President,,Howie Hawkins / Angela Walker,GRN,13,34,21
Manistee,President,,Rocky De La Fuente / Darcy Richardson,NLP,4,10,6
Manistee,President,,Total Votes,,4938,14655,9717
Manistee,U.S. Senate,,Gary Peters,DEM,2633,5995,3362
Manistee,U.S. Senate,,John James,REP,2218,8356,6138
Manistee,U.S. Senate,,Valerie L. Willis,UST,29,101,72
Manistee,U.S. Senate,,Marcia Squier,GRN,28,81,53
Manistee,U.S. Senate,,Doug Dern,NLP,10,30,20
Manistee,U.S. Senate,,Unresolved Write-In,,3,13,10
Manistee,U.S. House,1,Dana Ferguson,DEM,2375,5348,2973
Manistee,U.S. House,1,Jack Bergman,REP,2449,8896,6447
Manistee,U.S. House,1,Ben Boren,LIB,51,190,139
Manistee,U.S. House,1,Unresolved Write-In,,1,14,13
Manistee,State House,101,Beth McGill-Rizer,DEM,2386,5283,2897
Manistee,State House,101,Jack O'Malley,REP,2505,9231,6726
Manistee,State House,101,Unresolved Write-In,,2,17,15
Marquette,Registered Voters,,,,,,54865
Marquette,Ballots Cast,,,,,,37990
Marquette,Straight Party,,Democratic Party,DEM,,,10851
Marquette,Straight Party,,Republican Party,REP,,,7431
Marquette,Straight Party,,Libertarian Party,LIB,,,173
Marquette,Straight Party,,U.S. Taxpayers Party,UST,,,25
Marquette,Straight Party,,Working Class Party,WCP,,,125
Marquette,Straight Party,,Green Party,GRN,,,67
Marquette,Straight Party,,Natural Law Party,NLP,,,17
Marquette,President,,Joseph R. Biden / Kamala D. Harris,DEM,,,20465
Marquette,President,,Donald J. Trump / Michael R. Pence,REP,,,16286
Marquette,President,,Jo Jorgensen / Jeremy Cohen,LIB,,,511
Marquette,President,,Don Blankenship / William Mohr,UST,,,43
Marquette,President,,Howie Hawkins / Angela Walker,GRN,,,131
Marquette,President,,Rocky De La Fuente / Darcy Richardson,NLP,,,22
Marquette,President,,Total Votes,,,,37460
Marquette,U.S. Senate,,Gary Peters,DEM,,,20408
Marquette,U.S. Senate,,John James,REP,,,16247
Marquette,U.S. Senate,,Valerie L. Willis,UST,,,179
Marquette,U.S. Senate,,Marcia Squier,GRN,,,302
Marquette,U.S. Senate,,Doug Dern,NLP,,,42
Marquette,U.S. Senate,,Unresolved Write-In,,,,26
Marquette,U.S. House,1,Dana Ferguson,DEM,,,19281
Marquette,U.S. House,1,Jack Bergman,REP,,,17217
Marquette,U.S. House,1,Ben Boren,LIB,,,560
Marquette,U.S. House,1,Unresolved Write-In,,,,36
Marquette,State House,109,Sara Cambensy,DEM,,,21510
Marquette,State House,109,Melody Wagner,REP,,,12260
Marquette,State House,109,Jim Hafeman,UST,,,442
Marquette,State House,109,Unresolved Write-In,,,,47
Marquette,State House,110,Janet Metsa,DEM,,,1329
Marquette,State House,110,Gregory Markkanen,REP,,,1275
Marquette,State House,110,Rick Sauermilch,GRN,,,23
Marquette,State House,110,Unresolved Write-In,,,,3
Genesee,Straight Party,,Democratic Party,DEM,24727,54056,78783
Genesee,Straight Party,,Republican Party,REP,31115,20563,51678
Genesee,Straight Party,,Libertarian Party,LIB,432,248,680
Genesee,Straight Party,,U.S. Taxpayers Party,UST,119,102,221
Genesee,Straight Party,,Working Class Party,WCP,489,199,688
Genesee,Straight Party,,Green Party,GRN,136,95,231
Genesee,Straight Party,,Natural Law Party,NLP,76,34,110
Genesee,President,,Joseph R. Biden Kamala D. Harris,DEM,37579,81811,119390
Genesee,President,,Donald J. Trump Michael R. Pence,REP,59477,39237,98714
Genesee,President,,Jo Jorgensen Jeremy Cohen,LIB,1292,942,2234
Genesee,President,,Don Blankenship William Mohr,UST,143,180,323
Genesee,President,,Howie Hawkins Angela Walker,GRN,282,267,549
Genesee,President,,Rocky De La Fuente Darcy Richardson,NLP,52,54,106
Genesee,President,,Brian T. Carroll (W),W,16,23,39
Genesee,President,,Kasey Wells (W),W,0,0,0
Genesee,President,,Tara Renee Hunter (W),W,0,0,0
Genesee,President,,Jade Simmons (W),W,1,0,1
Genesee,President,,Tom Hoefling (W),W,3,1,4
Genesee,U.S. Senate,,Gary Peters,DEM,38701,81679,120380
Genesee,U.S. Senate,,John James,REP,56831,37674,94505
Genesee,U.S. Senate,,Valerie L. Willis,UST,1092,1118,2210
Genesee,U.S. Senate,,Marcia Squier,GRN,754,755,1509
Genesee,U.S. Senate,,Doug Dern,NLP,282,224,506
Genesee,U.S. Senate,,Leonard Paul Gadzinski (W),W,0,0,0
Genesee,U.S. Senate,,Robert William Carr (W),W,0,0,0
Genesee,U.S. House,5,Daniel T. Kildee,DEM,41039,84180,125219
Genesee,U.S. House,5,Tim Kelly,REP,50532,33683,84215
Genesee,U.S. House,5,James Harris,LIB,2163,1098,3261
Genesee,U.S. House,5,Kathy Goodwin,WCP,2922,1925,4847
Genesee,State House,34,Cynthia R. Neeley,DEM,9413,14617,24030
Genesee,State House,34,James Miraglia,REP,2486,1198,3684
Genesee,State House,48,Sheryl Y. Kennedy,DEM,8999,15308,24307
Genesee,State House,48,David W. Martin,REP,15842,8954,24796
Genesee,State House,49,John D. Cherry,DEM,8875,19247,28122
Genesee,State House,49,Bryan Lutz,REP,7621,5090,12711
Genesee,State House,50,Tim Sneller,DEM,7007,20853,27860
Genesee,State House,50,Christina Fitchett- Hickson,REP,12785,10722,23507
Genesee,State House,51,Brad May,DEM,5599,10884,16483
Genesee,State House,51,Mike Mueller,REP,16451,12190,28641
Barry,Straight Party,,Democratic Party,DEM,2069,3214,5283
Barry,Straight Party,,Republican Party,REP,9649,4442,14091
Barry,Straight Party,,Libertarian Party,LIB,87,35,122
Barry,Straight Party,,U.S. Taxpayers Party,UST,8,15,23
Barry,Straight Party,,Working Class Party,WCP,68,23,91
Barry,Straight Party,,Green Party,GRN,22,13,35
Barry,Straight Party,,Natural Law Party,NLP,16,0,16
Barry,President,,Joseph R. Biden/Kamala D. Harris,DEM,4522,7275,11797
Barry,President,,Donald J. Trump/Michael R. Pence,REP,16088,7383,23471
Barry,President,,Jo Jorgensen/Jeremy Cohen,LIB,297,182,479
Barry,President,,Don Blankenship/William Mohr,UST,24,35,59
Barry,President,,Howie Hawkins/Angela Walker,GRN,50,33,83
Barry,President,,Rocky De La Fuente/Darcy Richardson,NLP,12,4,16
Barry,U.S. Senate,,Gary Peters,DEM,4428,6941,11369
Barry,U.S. Senate,,John James,REP,15958,7541,23499
Barry,U.S. Senate,,Valerie L. Willis,UST,195,171,366
Barry,U.S. Senate,,Marcia Squier,GRN,132,109,241
Barry,U.S. Senate,,Doug Dern,NLP,64,31,95
Barry,U.S. House,3,Hillary Scholten,DEM,4940,7118,12058
Barry,U.S. House,3,Peter Meijer,REP,15563,7520,23083
Barry,State House,87,Jay Molette,DEM,3838,5894,9732
Barry,State House,87,Julie A. Calley,REP,16406,8461,24867
Clinton,Straight Party,,Democratic Party,DEM,8394,2288,10682
Clinton,Straight Party,,Republican Party,REP,13245,1457,14702
Clinton,Straight Party,,Libertarian Party,LIB,128,14,142
Clinton,Straight Party,,U.S. Taxpayers Party,UST,20,6,26
Clinton,Straight Party,,Working Class Party,WCP,82,6,88
Clinton,Straight Party,,Green Party,GRN,29,7,36
Clinton,Straight Party,,Natural Law Party,NLP,18,4,22
Clinton,President,,Joseph R. Biden Kamala D. Harris,DEM,17410,4558,21968
Clinton,President,,Donald J. Trump Michael R. Pence,REP,22827,2271,25098
Clinton,President,,Jo Jorgensen Jeremy Cohen,LIB,603,56,659
Clinton,President,,Don Blankenship William Mohr,UST,51,12,63
Clinton,President,,Howie Hawkins Angela Walker,GRN,81,13,94
Clinton,President,,Rocky De La Fuente Darcy Richardson,NLP,26,2,28
Clinton,President,,Brian T. Carroll (W),W,13,0,13
Clinton,President,,Jade Simmons (W),W,1,1,2
Clinton,President,,Kasey Wells (W),W,1,0,1
Clinton,President,,Tara Renee Hunter (W),W,0,0,0
Clinton,President,,Tom Hoefling (W),W,1,0,1
Clinton,U.S. Senate,,Gary Peters,DEM,17135,4355,21490
Clinton,U.S. Senate,,John James,REP,22840,2429,25269
Clinton,U.S. Senate,,Valerie L. Willis,UST,272,32,304
Clinton,U.S. Senate,,Marcia Squier,GRN,237,29,266
Clinton,U.S. Senate,,Doug Dern,NLP,78,8,86
Clinton,U.S. Senate,,Leonard Paul Gadzinski (W),W,0,0,0
Clinton,U.S. Senate,,Robert William Carr (W),W,0,0,0
Clinton,U.S. House,4,Jerry Hilliard,DEM,14819,3930,18749
Clinton,U.S. House,4,John Moolenaar,REP,23647,2644,26291
Clinton,U.S. House,4,David Canny,LIB,632,71,703
Clinton,U.S. House,4,Amy Slepr,GRN,520,69,589
Clinton,State House,93,Muhammad Salman Rais,DEM,14047,3772,17819
Clinton,State House,93,Graham Filler,REP,24889,2825,27714
Emmet,Straight Party,,Democrat,DEM,2161,2212,4373
Emmet,Straight Party,,Republican,REP,5055,2291,7346
Emmet,Straight Party,,Libertarian,LIB,61,21,82
Emmet,Straight Party,,U.S. Taxpayers,UST,11,3,14
Emmet,Straight Party,,Working Class,WCP,48,6,54
Emmet,Straight Party,,Green,GRN,22,4,26
Emmet,Straight Party,,Natural Law,NLP,7,3,10
Emmet,President,,Joseph R. Biden Kamala D. Harris,DEM,4734,4928,9662
Emmet,President,,Donald J. Trump Michael R. Pence,REP,8343,3792,12135
Emmet,President,,Jo Jorgensen Jeremy Cohen,LIB,188,96,284
Emmet,President,,Don Blankenship William Mohr,UST,14,12,26
Emmet,President,,Howie Hawkins Angela Walker,GRN,45,14,59
Emmet,President,,Rocky De La Fuente Darcy Richardson,NLP,7,3,10
Emmet,President,,Write-ins,,20,13,33
Emmet,U.S. Senate,,Gary Peters,DEM,4570,4646,9216
Emmet,U.S. Senate,,John James,REP,8432,4074,12506
Emmet,U.S. Senate,,Valerie L. Willis,UST,71,26,97
Emmet,U.S. Senate,,Marcia Squier,GRN,103,49,152
Emmet,U.S. Senate,,Doug Dern,NLP,36,15,51
Emmet,U.S. Senate,,Write-ins,,8,1,9
Emmet,U.S. House,1,Dana Ferguson,DEM,4127,4369,8496
Emmet,U.S. House,1,Jack Bergman,REP,8773,4296,13069
Emmet,U.S. House,1,Ben Boren,LIB,224,102,326
Emmet,U.S. House,1,Write-ins,,20,2,22
Emmet,State House,107,Jim Page,DEM,4388,4563,8951
Emmet,State House,107,John N. Damoose,REP,8618,4127,12745
Emmet,State House,107,Write-ins,,47,8,55
Dickinson,Straight Party,,Democratic Party,DEM,770,1495,2265
Dickinson,Straight Party,,Republican Party,REP,3398,1602,5000
Dickinson,Straight Party,,Libertarian Party,LIB,43,18,61
Dickinson,Straight Party,,U.S. Taxpayers Party,UST,5,9,14
Dickinson,Straight Party,,Working Class Party,WCP,30,13,43
Dickinson,Straight Party,,Green Party,GRN,10,6,16
Dickinson,Straight Party,,Natural Law Party,NLP,4,3,7
Dickinson,President,,Joseph R. Biden Kamala D. Harris,DEM,1643,3101,4744
Dickinson,President,,Donald J. Trump Michael R. Pence,REP,6389,3228,9617
Dickinson,President,,Jo Jorgensen Jeremy Cohen,LIB,104,83,187
Dickinson,President,,Don Blankenship William Mohr,UST,8,7,15
Dickinson,President,,Howie Hawkins Angela Walker,GRN,8,7,15
Dickinson,President,,Rocky De La Fuente Darcy Richardson,NLP,7,4,11
Dickinson,U.S. Senate,,Gary Peters,DEM,1840,3041,4881
Dickinson,U.S. Senate,,John James,REP,6163,3268,9431
Dickinson,U.S. Senate,,Valerie L. Willis,UST,49,39,88
Dickinson,U.S. Senate,,Marcia Squier,GRN,32,33,65
Dickinson,U.S. Senate,,Doug Dern,NLP,11,10,21
Dickinson,U.S. House,1,Dana Ferguson,DEM,1516,2806,4322
Dickinson,U.S. House,1,Jack Bergman,REP,6407,3486,9893
Dickinson,U.S. House,1,Ben Boren,LIB,127,69,196
Dickinson,State House,108,Renee Richer,DEM,1782,3070,4852
Dickinson,State House,108,Beau Matthew LaFave,REP,6278,3286,9564
Grand Traverse,Straight Party,,Democratic Party,DEM,3142,9072,12214
Grand Traverse,Straight Party,,Republican Party,REP,9049,8164,17213
Grand Traverse,Straight Party,,Libertarian Party,LIB,128,73,201
Grand Traverse,Straight Party,,U.S. Taxpayers Party,UST,21,17,38
Grand Traverse,Straight Party,,Working Class Party,WCP,62,37,99
Grand Traverse,Straight Party,,Green Party,GRN,32,29,61
Grand Traverse,Straight Party,,Natural Law Party,NLP,13,6,19
Grand Traverse,President,,Joseph R. Biden Kamala D. Harris,DEM,7453,21230,28683
Grand Traverse,President,,Donald J. Trump Michael R. Pence,REP,16586,13916,30502
Grand Traverse,President,,Jo Jorgensen Jeremy Cohen,LIB,430,366,796
Grand Traverse,President,,Don Blankenship William Mohr,UST,27,37,64
Grand Traverse,President,,Howie Hawkins Angela Walker,GRN,69,82,151
Grand Traverse,President,,Rocky De La Fuente Darcy Richardson,NLP,14,17,31
Grand Traverse,President,,Write-In Totals,,37,89,126
Grand Traverse,President,,Write-In: Brian T. Carroll,W,3,6,9
Grand Traverse,President,,Not Assigned,,34,83,117
Grand Traverse,U.S. Senate,,Gary Peters,DEM,7201,20090,27291
Grand Traverse,U.S. Senate,,John James,REP,16785,15007,31792
Grand Traverse,U.S. Senate,,Valerie L. Willis,UST,136,133,269
Grand Traverse,U.S. Senate,,Marcia Squier,GRN,165,232,397
Grand Traverse,U.S. Senate,,Doug Dern,NLP,47,44,91
Grand Traverse,U.S. Senate,,Write-In Totals,,17,9,26
Grand Traverse,U.S. Senate,,Not Assigned,,17,9,26
Grand Traverse,State House,104,Dan O'Neil,DEM,7616,20393,28009
Grand Traverse,State House,104,John R. Roth,REP,15928,14383,30311
Grand Traverse,State House,104,Jason Crum,LIB,659,535,1194
Grand Traverse,State House,104,Write-In Totals,,23,14,37
Grand Traverse,State House,104,Not Assigned,,23,14,37
Grand Traverse,U.S. House,1,Dana Ferguson,DEM,6575,19003,25578
Grand Traverse,U.S. House,1,Jack Bergman,REP,16983,15785,32768
Grand Traverse,U.S. House,1,Ben Boren,LIB,600,495,1095
Grand Traverse,U.S. House,1,Write-ins,,21,9,30
Grand Traverse,U.S. House,1,Over Votes,,1,5,6
Grand Traverse,U.S. House,1,Under Votes,,507,684,1191
Grand Traverse,State House,104,Write-ins,,23,14,37
Grand Traverse,State House,104,Over Votes,,8,7,15
Grand Traverse,State House,104,Under Votes,,453,649,1102
Grand Traverse,U.S. Senate,,Over Votes,,9,15,24
Grand Traverse,U.S. Senate,,Under Votes,,327,451,778
Grand Traverse,President,,Over Votes,,10,11,21
Grand Traverse,President,,Under Votes,,61,233,294
Grand Traverse,Straight Party,,Over Votes,,15,8,23
Grand Traverse,Straight Party,,Under Votes,,12225,18575,30800
Ingham,Straight Party,,Democratic Party,DEM,13859,40365,54224
Ingham,Straight Party,,Republican Party,REP,14971,11918,26889
Ingham,Straight Party,,Libertarian Party,LIB,318,252,570
Ingham,Straight Party,,U.S. Taxpayers Party,UST,77,89,166
Ingham,Straight Party,,Working Class Party,WCP,247,208,455
Ingham,Straight Party,,Green Party,GRN,92,119,211
Ingham,Straight Party,,Natural Law Party,NLP,50,36,86
Ingham,President,,Joseph R. Biden Kamala D. Harris,DEM,24466,69746,94212
Ingham,President,,Donald J. Trump Michael R. Pence,REP,26793,20846,47639
Ingham,President,,Jo Jorgensen Jeremy Cohen,LIB,966,907,1873
Ingham,President,,Don Blankenship William Mohr,UST,73,148,221
Ingham,President,,Howie Hawkins Angela Walker,GRN,173,283,456
Ingham,President,,Rocky De La Fuente Darcy Richardson,NLP,46,58,104
Ingham,U.S. Senate,,Gary Peters,DEM,24330,68048,92378
Ingham,U.S. Senate,,John James,REP,26488,21890,48378
Ingham,U.S. Senate,,Valerie L. Willis,UST,543,717,1260
Ingham,U.S. Senate,,Marcia Squier,GRN,485,733,1218
Ingham,U.S. Senate,,Doug Dern,NLP,160,163,323
Ingham,U.S. House,8,Elissa Slotkin,DEM,25888,70504,96392
Ingham,U.S. House,8,Paul Junge,REP,24298,19726,44024
Ingham,U.S. House,8,Joe Hartman,LIB,1590,1144,2734
Ingham,State House,67,Kara Hope,DEM,9381,19122,28503
Ingham,State House,67,Nate J. Ross,REP,14527,9424,23951
Ingham,State House,68,Sarah Anthony,DEM,8916,24844,33760
Ingham,State House,68,Robert J. Atkinson,REP,5597,5117,10714
Ingham,State House,69,Julie Brixie,DEM,6056,24027,30083
Ingham,State House,69,Grace S. Norris,REP,5942,6712,12654
Ingham,State House,69,Gene Gutierrez,GRN,298,382,680
Houghton,Straight Party,,Democratic Party,DEM,,,3384
Houghton,Straight Party,,Republican Party,REP,,,5011
Houghton,Straight Party,,Libertarian Party,LIB,,,71
Houghton,Straight Party,,U.S. Taxpayers Party,UST,,,15
Houghton,Straight Party,,Working Class Party,WCP,,,47
Houghton,Straight Party,,Green Party,GRN,,,23
Houghton,Straight Party,,Natural Law Party,NLP,,,11
Houghton,President,,Joseph R. Biden Kamala D. Harris,DEM,,,7750
Houghton,President,,Donald J. Trump Michael R. Pence,REP,,,10378
Houghton,President,,Jo Jorgensen Jeremy Cohen,LIB,,,285
Houghton,President,,Don Blankenship William Mohr,UST,,,28
Houghton,President,,Howie Hawkins Angela Walker,GRN,,,49
Houghton,President,,Rocky De La Fuente Darcy Richardson,NLP,,,11
Houghton,U.S. Senate,,Gary Peters,DEM,,,7941
Houghton,U.S. Senate,,John James,REP,,,10151
Houghton,U.S. Senate,,Valerie L. Willis,UST,,,89
Houghton,U.S. Senate,,Marcia Squier,GRN,,,142
Houghton,U.S. Senate,,Doug Dern,NLP,,,27
Houghton,U.S. House,1,Dana Ferguson,DEM,,,6997
Houghton,U.S. House,1,Jack Bergman,REP,,,10960
