county,precinct,office,district,candidate,party,votes,election_day,absentee
Bay,"Auburn City, Pct 1",Registered Voters,,,,1590,,
Bay,"Auburn City, Pct 1",Ballots Cast,,,,420,420,0
Bay,"Auburn City, Pct 1",Ballots Cast,,,DEM,260,260,0
Bay,"Auburn City, Pct 1",Ballots Cast,,,REP,160,160,0
Bay,"Auburn City, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Auburn City, Pct 1",Ballots Cast Blank,,,,1,1,0
Bay,"Auburn City, Pct 1",President,,Michael Bennet,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Joe Biden,DEM,155,155,0
Bay,"Auburn City, Pct 1",President,,Michael R. Bloomberg,DEM,8,8,0
Bay,"Auburn City, Pct 1",President,,Cory Booker,DEM,1,1,0
Bay,"Auburn City, Pct 1",President,,Pete Buttigieg,DEM,4,4,0
Bay,"Auburn City, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Tulsi Gabbard,DEM,2,2,0
Bay,"Auburn City, Pct 1",President,,Amy Klobuchar,DEM,2,2,0
Bay,"Auburn City, Pct 1",President,,Bernie Sanders,DEM,83,83,0
Bay,"Auburn City, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Tom Steyer,DEM,1,1,0
Bay,"Auburn City, Pct 1",President,,Elizabeth Warren,DEM,1,1,0
Bay,"Auburn City, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Andrew Yang,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Uncommitted,DEM,1,1,0
Bay,"Auburn City, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Mark Sanford,REP,3,3,0
Bay,"Auburn City, Pct 1",President,,Donald J. Trump,REP,145,145,0
Bay,"Auburn City, Pct 1",President,,Joe Walsh,REP,2,2,0
Bay,"Auburn City, Pct 1",President,,Bill Weld,REP,1,1,0
Bay,"Auburn City, Pct 1",President,,Uncommitted,REP,9,9,0
Bay,"Auburn City, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 1, Pct 1",Registered Voters,,,,2607,,
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast,,,,706,438,268
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast,,,DEM,555,366,189
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast,,,REP,151,72,79
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast Blank,,,,1,0,1
Bay,"Bay City, Ward 1, Pct 1",President,,Michael Bennet,DEM,1,1,0
Bay,"Bay City, Ward 1, Pct 1",President,,Joe Biden,DEM,238,173,65
Bay,"Bay City, Ward 1, Pct 1",President,,Michael R. Bloomberg,DEM,41,2,39
Bay,"Bay City, Ward 1, Pct 1",President,,Cory Booker,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Pete Buttigieg,DEM,7,0,7
Bay,"Bay City, Ward 1, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Tulsi Gabbard,DEM,4,2,2
Bay,"Bay City, Ward 1, Pct 1",President,,Amy Klobuchar,DEM,4,2,2
Bay,"Bay City, Ward 1, Pct 1",President,,Bernie Sanders,DEM,238,183,55
Bay,"Bay City, Ward 1, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Tom Steyer,DEM,4,0,4
Bay,"Bay City, Ward 1, Pct 1",President,,Elizabeth Warren,DEM,6,2,4
Bay,"Bay City, Ward 1, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Andrew Yang,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Uncommitted,DEM,11,1,10
Bay,"Bay City, Ward 1, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Mark Sanford,REP,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Donald J. Trump,REP,135,67,68
Bay,"Bay City, Ward 1, Pct 1",President,,Joe Walsh,REP,3,0,3
Bay,"Bay City, Ward 1, Pct 1",President,,Bill Weld,REP,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Uncommitted,REP,12,4,8
Bay,"Bay City, Ward 1, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 2, Pct 1",Registered Voters,,,,2761,,
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast,,,,857,590,267
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast,,,DEM,710,519,191
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast,,,REP,147,71,76
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Michael Bennet,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Joe Biden,DEM,335,247,88
Bay,"Bay City, Ward 2, Pct 1",President,,Michael R. Bloomberg,DEM,34,2,32
Bay,"Bay City, Ward 2, Pct 1",President,,Cory Booker,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Pete Buttigieg,DEM,9,0,9
Bay,"Bay City, Ward 2, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Tulsi Gabbard,DEM,1,0,1
Bay,"Bay City, Ward 2, Pct 1",President,,Amy Klobuchar,DEM,2,0,2
Bay,"Bay City, Ward 2, Pct 1",President,,Bernie Sanders,DEM,304,265,39
Bay,"Bay City, Ward 2, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Tom Steyer,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Elizabeth Warren,DEM,16,3,13
Bay,"Bay City, Ward 2, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Andrew Yang,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Uncommitted,DEM,9,2,7
Bay,"Bay City, Ward 2, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Mark Sanford,REP,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Donald J. Trump,REP,141,69,72
Bay,"Bay City, Ward 2, Pct 1",President,,Joe Walsh,REP,1,0,1
Bay,"Bay City, Ward 2, Pct 1",President,,Bill Weld,REP,3,2,1
Bay,"Bay City, Ward 2, Pct 1",President,,Uncommitted,REP,2,0,2
Bay,"Bay City, Ward 2, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 3, Pct 1",Registered Voters,,,,2544,,
Bay,"Bay City, Ward 3, Pct 1",Ballots Cast,,,,589,388,201
Bay,"Bay City, Ward 3, Pct 1",Ballots Cast,,,DEM,444,320,124
Bay,"Bay City, Ward 3, Pct 1",Ballots Cast,,,REP,145,68,77
Bay,"Bay City, Ward 3, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 3, Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Michael Bennet,DEM,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Joe Biden,DEM,181,133,48
Bay,"Bay City, Ward 3, Pct 1",President,,Michael R. Bloomberg,DEM,19,1,18
Bay,"Bay City, Ward 3, Pct 1",President,,Cory Booker,DEM,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Pete Buttigieg,DEM,12,0,12
Bay,"Bay City, Ward 3, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Tulsi Gabbard,DEM,3,3,0
Bay,"Bay City, Ward 3, Pct 1",President,,Amy Klobuchar,DEM,3,0,3
Bay,"Bay City, Ward 3, Pct 1",President,,Bernie Sanders,DEM,200,179,21
Bay,"Bay City, Ward 3, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Tom Steyer,DEM,2,0,2
Bay,"Bay City, Ward 3, Pct 1",President,,Elizabeth Warren,DEM,11,2,9
Bay,"Bay City, Ward 3, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Andrew Yang,DEM,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Uncommitted,DEM,10,0,10
Bay,"Bay City, Ward 3, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Mark Sanford,REP,0,0,0
Bay,"Bay City, Ward 3, Pct 1",President,,Donald J. Trump,REP,131,66,65
Bay,"Bay City, Ward 3, Pct 1",President,,Joe Walsh,REP,1,0,1
Bay,"Bay City, Ward 3, Pct 1",President,,Bill Weld,REP,6,2,4
Bay,"Bay City, Ward 3, Pct 1",President,,Uncommitted,REP,7,0,7
Bay,"Bay City, Ward 3, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 4, Pct 1",Registered Voters,,,,2744,,
Bay,"Bay City, Ward 4, Pct 1",Ballots Cast,,,,615,385,230
Bay,"Bay City, Ward 4, Pct 1",Ballots Cast,,,DEM,496,317,179
Bay,"Bay City, Ward 4, Pct 1",Ballots Cast,,,REP,119,68,51
Bay,"Bay City, Ward 4, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 4, Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Michael Bennet,DEM,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Joe Biden,DEM,209,136,73
Bay,"Bay City, Ward 4, Pct 1",President,,Michael R. Bloomberg,DEM,37,3,34
Bay,"Bay City, Ward 4, Pct 1",President,,Cory Booker,DEM,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Pete Buttigieg,DEM,10,1,9
Bay,"Bay City, Ward 4, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Tulsi Gabbard,DEM,1,1,0
Bay,"Bay City, Ward 4, Pct 1",President,,Amy Klobuchar,DEM,3,0,3
Bay,"Bay City, Ward 4, Pct 1",President,,Bernie Sanders,DEM,208,172,36
Bay,"Bay City, Ward 4, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Tom Steyer,DEM,2,0,2
Bay,"Bay City, Ward 4, Pct 1",President,,Elizabeth Warren,DEM,11,4,7
Bay,"Bay City, Ward 4, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Andrew Yang,DEM,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Uncommitted,DEM,14,0,14
Bay,"Bay City, Ward 4, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Mark Sanford,REP,2,1,1
Bay,"Bay City, Ward 4, Pct 1",President,,Donald J. Trump,REP,109,64,45
Bay,"Bay City, Ward 4, Pct 1",President,,Joe Walsh,REP,0,0,0
Bay,"Bay City, Ward 4, Pct 1",President,,Bill Weld,REP,2,1,1
Bay,"Bay City, Ward 4, Pct 1",President,,Uncommitted,REP,6,2,4
Bay,"Bay City, Ward 4, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 5, Pct 1",Registered Voters,,,,2889,,
Bay,"Bay City, Ward 5, Pct 1",Ballots Cast,,,,881,495,386
Bay,"Bay City, Ward 5, Pct 1",Ballots Cast,,,DEM,691,396,295
Bay,"Bay City, Ward 5, Pct 1",Ballots Cast,,,REP,190,99,91
Bay,"Bay City, Ward 5, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 5, Pct 1",Ballots Cast Blank,,,,1,0,1
Bay,"Bay City, Ward 5, Pct 1",President,,Michael Bennet,DEM,0,0,0
Bay,"Bay City, Ward 5, Pct 1",President,,Joe Biden,DEM,340,206,134
Bay,"Bay City, Ward 5, Pct 1",President,,Michael R. Bloomberg,DEM,66,1,65
Bay,"Bay City, Ward 5, Pct 1",President,,Cory Booker,DEM,1,0,1
Bay,"Bay City, Ward 5, Pct 1",President,,Pete Buttigieg,DEM,17,0,17
Bay,"Bay City, Ward 5, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Bay City, Ward 5, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 5, Pct 1",President,,Tulsi Gabbard,DEM,2,2,0
Bay,"Bay City, Ward 5, Pct 1",President,,Amy Klobuchar,DEM,7,0,7
Bay,"Bay City, Ward 5, Pct 1",President,,Bernie Sanders,DEM,225,183,42
Bay,"Bay City, Ward 5, Pct 1",President,,Joe Sestak,DEM,1,0,1
Bay,"Bay City, Ward 5, Pct 1",President,,Tom Steyer,DEM,0,0,0
Bay,"Bay City, Ward 5, Pct 1",President,,Elizabeth Warren,DEM,7,1,6
Bay,"Bay City, Ward 5, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Bay City, Ward 5, Pct 1",President,,Andrew Yang,DEM,1,0,1
Bay,"Bay City, Ward 5, Pct 1",President,,Uncommitted,DEM,23,3,20
Bay,"Bay City, Ward 5, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 5, Pct 1",President,,Mark Sanford,REP,0,0,0
Bay,"Bay City, Ward 5, Pct 1",President,,Donald J. Trump,REP,182,95,87
Bay,"Bay City, Ward 5, Pct 1",President,,Joe Walsh,REP,2,2,0
Bay,"Bay City, Ward 5, Pct 1",President,,Bill Weld,REP,0,0,0
Bay,"Bay City, Ward 5, Pct 1",President,,Uncommitted,REP,5,1,4
Bay,"Bay City, Ward 5, Pct 1",President,,Write-In Totals,REP,1,1,0
Bay,"Bay City, Ward 6, Pct 1",Registered Voters,,,,2657,,
Bay,"Bay City, Ward 6, Pct 1",Ballots Cast,,,,593,347,246
Bay,"Bay City, Ward 6, Pct 1",Ballots Cast,,,DEM,450,288,162
Bay,"Bay City, Ward 6, Pct 1",Ballots Cast,,,REP,143,59,84
Bay,"Bay City, Ward 6, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 6, Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Bay City, Ward 6, Pct 1",President,,Michael Bennet,DEM,1,1,0
Bay,"Bay City, Ward 6, Pct 1",President,,Joe Biden,DEM,180,121,59
Bay,"Bay City, Ward 6, Pct 1",President,,Michael R. Bloomberg,DEM,39,2,37
Bay,"Bay City, Ward 6, Pct 1",President,,Cory Booker,DEM,0,0,0
Bay,"Bay City, Ward 6, Pct 1",President,,Pete Buttigieg,DEM,15,0,15
Bay,"Bay City, Ward 6, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Bay City, Ward 6, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 6, Pct 1",President,,Tulsi Gabbard,DEM,3,2,1
Bay,"Bay City, Ward 6, Pct 1",President,,Amy Klobuchar,DEM,6,3,3
Bay,"Bay City, Ward 6, Pct 1",President,,Bernie Sanders,DEM,180,155,25
Bay,"Bay City, Ward 6, Pct 1",President,,Joe Sestak,DEM,2,0,2
Bay,"Bay City, Ward 6, Pct 1",President,,Tom Steyer,DEM,3,1,2
Bay,"Bay City, Ward 6, Pct 1",President,,Elizabeth Warren,DEM,8,2,6
Bay,"Bay City, Ward 6, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Bay City, Ward 6, Pct 1",President,,Andrew Yang,DEM,1,1,0
Bay,"Bay City, Ward 6, Pct 1",President,,Uncommitted,DEM,11,0,11
Bay,"Bay City, Ward 6, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 6, Pct 1",President,,Mark Sanford,REP,0,0,0
Bay,"Bay City, Ward 6, Pct 1",President,,Donald J. Trump,REP,134,57,77
Bay,"Bay City, Ward 6, Pct 1",President,,Joe Walsh,REP,0,0,0
Bay,"Bay City, Ward 6, Pct 1",President,,Bill Weld,REP,1,1,0
Bay,"Bay City, Ward 6, Pct 1",President,,Uncommitted,REP,7,1,6
Bay,"Bay City, Ward 6, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 7, Pct 1",Registered Voters,,,,2707,,
Bay,"Bay City, Ward 7, Pct 1",Ballots Cast,,,,668,443,225
Bay,"Bay City, Ward 7, Pct 1",Ballots Cast,,,DEM,496,354,142
Bay,"Bay City, Ward 7, Pct 1",Ballots Cast,,,REP,172,89,83
Bay,"Bay City, Ward 7, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 7, Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Bay City, Ward 7, Pct 1",President,,Michael Bennet,DEM,1,0,1
Bay,"Bay City, Ward 7, Pct 1",President,,Joe Biden,DEM,221,158,63
Bay,"Bay City, Ward 7, Pct 1",President,,Michael R. Bloomberg,DEM,29,2,27
Bay,"Bay City, Ward 7, Pct 1",President,,Cory Booker,DEM,0,0,0
Bay,"Bay City, Ward 7, Pct 1",President,,Pete Buttigieg,DEM,11,4,7
Bay,"Bay City, Ward 7, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Bay City, Ward 7, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 7, Pct 1",President,,Tulsi Gabbard,DEM,4,3,1
Bay,"Bay City, Ward 7, Pct 1",President,,Amy Klobuchar,DEM,3,0,3
Bay,"Bay City, Ward 7, Pct 1",President,,Bernie Sanders,DEM,204,179,25
Bay,"Bay City, Ward 7, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Bay City, Ward 7, Pct 1",President,,Tom Steyer,DEM,1,1,0
Bay,"Bay City, Ward 7, Pct 1",President,,Elizabeth Warren,DEM,7,3,4
Bay,"Bay City, Ward 7, Pct 1",President,,Marianne Williamson,DEM,1,0,1
Bay,"Bay City, Ward 7, Pct 1",President,,Andrew Yang,DEM,1,0,1
Bay,"Bay City, Ward 7, Pct 1",President,,Uncommitted,DEM,12,4,8
Bay,"Bay City, Ward 7, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 7, Pct 1",President,,Mark Sanford,REP,1,0,1
Bay,"Bay City, Ward 7, Pct 1",President,,Donald J. Trump,REP,159,86,73
Bay,"Bay City, Ward 7, Pct 1",President,,Joe Walsh,REP,2,1,1
Bay,"Bay City, Ward 7, Pct 1",President,,Bill Weld,REP,1,1,0
Bay,"Bay City, Ward 7, Pct 1",President,,Uncommitted,REP,8,1,7
Bay,"Bay City, Ward 7, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 8, Pct 1",Registered Voters,,,,2635,,
Bay,"Bay City, Ward 8, Pct 1",Ballots Cast,,,,663,461,202
Bay,"Bay City, Ward 8, Pct 1",Ballots Cast,,,DEM,495,350,145
Bay,"Bay City, Ward 8, Pct 1",Ballots Cast,,,REP,168,111,57
Bay,"Bay City, Ward 8, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 8, Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Bay City, Ward 8, Pct 1",President,,Michael Bennet,DEM,0,0,0
Bay,"Bay City, Ward 8, Pct 1",President,,Joe Biden,DEM,223,164,59
Bay,"Bay City, Ward 8, Pct 1",President,,Michael R. Bloomberg,DEM,25,2,23
Bay,"Bay City, Ward 8, Pct 1",President,,Cory Booker,DEM,1,0,1
Bay,"Bay City, Ward 8, Pct 1",President,,Pete Buttigieg,DEM,24,1,23
Bay,"Bay City, Ward 8, Pct 1",President,,Julian Castro,DEM,1,0,1
Bay,"Bay City, Ward 8, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 8, Pct 1",President,,Tulsi Gabbard,DEM,5,4,1
Bay,"Bay City, Ward 8, Pct 1",President,,Amy Klobuchar,DEM,2,0,2
Bay,"Bay City, Ward 8, Pct 1",President,,Bernie Sanders,DEM,202,175,27
Bay,"Bay City, Ward 8, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Bay City, Ward 8, Pct 1",President,,Tom Steyer,DEM,0,0,0
Bay,"Bay City, Ward 8, Pct 1",President,,Elizabeth Warren,DEM,4,1,3
Bay,"Bay City, Ward 8, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Bay City, Ward 8, Pct 1",President,,Andrew Yang,DEM,0,0,0
Bay,"Bay City, Ward 8, Pct 1",President,,Uncommitted,DEM,8,3,5
Bay,"Bay City, Ward 8, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 8, Pct 1",President,,Mark Sanford,REP,3,1,2
Bay,"Bay City, Ward 8, Pct 1",President,,Donald J. Trump,REP,156,107,49
