county,precinct,office,district,party,candidate,election_day,votes
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Joe Biden,59,59
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Michael R. Bloomberg,3,3
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Pete Buttigieg,3,3
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Tulsi Gabbard,2,2
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Amy Klobuchar,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Bernie Sanders,41,41
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Elizabeth Warren,1,1
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,DEM,Uncommitted,1,1
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Ballots Cast,,DEM,,110,110
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,REP,Mark Sanford,1,1
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,REP,Donald J. Trump,109,109
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,REP,Uncommitted,7,7
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,152,152
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,78,78
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Ballots Cast,,NON,,230,230
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Joe Biden,41,41
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Michael R. Bloomberg,5,5
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Pete Buttigieg,2,2
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Tulsi Gabbard,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Amy Klobuchar,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Bernie Sanders,15,15
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Tom Steyer,1,1
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Elizabeth Warren,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,DEM,Uncommitted,2,2
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",Ballots Cast,,DEM,,66,66
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,REP,Mark Sanford,1,1
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,REP,Donald J. Trump,63,63
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,REP,Joe Walsh,0,0
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,REP,Bill Weld,1,1
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",President,,REP,Uncommitted,3,3
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,83,83
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,49,49
Hillsdale,"City of Hillsdale, Ward II, Precinct 1",Ballots Cast,,NON,,132,132
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Joe Biden,74,74
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Michael R. Bloomberg,7,7
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Pete Buttigieg,1,1
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Tulsi Gabbard,1,1
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Amy Klobuchar,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Bernie Sanders,58,58
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Elizabeth Warren,1,1
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Andrew Yang,2,2
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,DEM,Uncommitted,1,1
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",Ballots Cast,,DEM,,145,145
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,REP,Mark Sanford,1,1
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,REP,Donald J. Trump,149,149
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,REP,Joe Walsh,0,0
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,REP,Bill Weld,2,2
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",President,,REP,Uncommitted,7,7
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,203,203
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,116,116
Hillsdale,"City of Hillsdale, Ward III, Precinct 1",Ballots Cast,,NON,,319,319
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Joe Biden,75,75
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Michael R. Bloomberg,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Pete Buttigieg,5,5
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Tulsi Gabbard,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Amy Klobuchar,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Bernie Sanders,69,69
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Tom Steyer,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Elizabeth Warren,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,DEM,Uncommitted,1,1
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",Ballots Cast,,DEM,,155,155
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Donald J. Trump,138,138
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Joe Walsh,4,4
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",President,,REP,Uncommitted,3,3
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,194,194
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,108,108
Hillsdale,"City of Hillsdale, Ward IV, Precinct 1",Ballots Cast,,NON,,302,302
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Joe Biden,95,95
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Michael R. Bloomberg,16,16
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Pete Buttigieg,2,2
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Tulsi Gabbard,2,2
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Amy Klobuchar,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Bernie Sanders,71,71
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Elizabeth Warren,2,2
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,DEM,Uncommitted,4,4
Hillsdale,"City of Jonesville, Precinct 1",Ballots Cast,,DEM,,192,192
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Donald J. Trump,197,197
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"City of Jonesville, Precinct 1",President,,REP,Uncommitted,12,12
Hillsdale,"City of Jonesville, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,276,276
Hillsdale,"City of Jonesville, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,137,137
Hillsdale,"City of Jonesville, Precinct 1",Ballots Cast,,NON,,413,413
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Joe Biden,44,44
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Michael R. Bloomberg,2,2
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Pete Buttigieg,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Tulsi Gabbard,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Amy Klobuchar,1,1
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Bernie Sanders,33,33
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Tom Steyer,1,1
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Elizabeth Warren,2,2
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,DEM,Uncommitted,0,0
Hillsdale,"City of Litchfield, Precinct 1",Ballots Cast,,DEM,,83,83
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Mark Sanford,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Donald J. Trump,145,145
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Joe Walsh,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"City of Litchfield, Precinct 1",President,,REP,Uncommitted,4,4
Hillsdale,"City of Litchfield, Precinct 1",Litchfield Community Schools Sinking Fund Millage Proposal,,NON,Yes,167,167
Hillsdale,"City of Litchfield, Precinct 1",Litchfield Community Schools Sinking Fund Millage Proposal,,NON,No,80,80
Hillsdale,"City of Litchfield, Precinct 1",Ballots Cast,,NON,,247,247
Hillsdale,"City of Litchfield, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,139,139
Hillsdale,"City of Litchfield, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,106,106
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Joe Biden,26,26
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Michael R. Bloomberg,5,5
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Pete Buttigieg,2,2
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Tulsi Gabbard,3,3
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Amy Klobuchar,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Bernie Sanders,31,31
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Elizabeth Warren,1,1
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"City of Reading, Precinct 1",President,,DEM,Uncommitted,2,2
Hillsdale,"City of Reading, Precinct 1",Ballots Cast,,DEM,,70,70
Hillsdale,"City of Reading, Precinct 1",President,,REP,Mark Sanford,2,2
Hillsdale,"City of Reading, Precinct 1",President,,REP,Donald J. Trump,66,66
Hillsdale,"City of Reading, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"City of Reading, Precinct 1",President,,REP,Bill Weld,3,3
Hillsdale,"City of Reading, Precinct 1",President,,REP,Uncommitted,1,1
Hillsdale,"City of Reading, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,107,107
Hillsdale,"City of Reading, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,41,41
Hillsdale,"City of Reading, Precinct 1",Ballots Cast,,NON,,148,148
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Michael Bennet,1,1
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Joe Biden,81,81
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Michael R. Bloomberg,16,16
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Pete Buttigieg,1,1
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Tulsi Gabbard,3,3
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Amy Klobuchar,1,1
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Bernie Sanders,72,72
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Elizabeth Warren,2,2
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"Adams Township, Precinct 1",President,,DEM,Uncommitted,2,2
Hillsdale,"Adams Township, Precinct 1",Ballots Cast,,DEM,,179,179
Hillsdale,"Adams Township, Precinct 1",President,,REP,Mark Sanford,2,2
Hillsdale,"Adams Township, Precinct 1",President,,REP,Donald J. Trump,247,247
Hillsdale,"Adams Township, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"Adams Township, Precinct 1",President,,REP,Bill Weld,1,1
Hillsdale,"Adams Township, Precinct 1",President,,REP,Uncommitted,4,4
Hillsdale,"Adams Township, Precinct 1",Pittsford Area Schools Sinking Fund Millage Proposal,,NON,Yes,11,11
Hillsdale,"Adams Township, Precinct 1",Pittsford Area Schools Sinking Fund Millage Proposal,,NON,No,28,28
Hillsdale,"Adams Township, Precinct 1",Ballots Cast,,NON,,39,39
Hillsdale,"Adams Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,235,235
Hillsdale,"Adams Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,214,214
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Joe Biden,50,50
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Michael R. Bloomberg,4,4
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Pete Buttigieg,2,2
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Julián Castro,1,1
Hillsdale,"Allen Township, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Tulsi Gabbard,2,2
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Amy Klobuchar,2,2
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Bernie Sanders,39,39
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"Allen Township, Precinct 1",President,,DEM,Elizabeth Warren,1,1
