candidate,office,district,party,county,precinct,election day,avcb,votes
Registered Voters,,,,Kalkaska,"Bear Lake Township, Precinct 1",,,732
Ballots Cast,,,,Kalkaska,"Bear Lake Township, Precinct 1",509,0,509
,Straight Party,,DEM,Kalkaska,"Bear Lake Township, Precinct 1",82,0,82
,Straight Party,,REP,Kalkaska,"Bear Lake Township, Precinct 1",215,0,215
,Straight Party,,LIB,Kalkaska,"Bear Lake Township, Precinct 1",2,0,2
,Straight Party,,UST,Kalkaska,"Bear Lake Township, Precinct 1",0,0,0
,Straight Party,,WCP,Kalkaska,"Bear Lake Township, Precinct 1",1,0,1
,Straight Party,,GRN,Kalkaska,"Bear Lake Township, Precinct 1",0,0,0
,Straight Party,,NLP,Kalkaska,"Bear Lake Township, Precinct 1",0,0,0
Joseph R Biden,President,,DEM,Kalkaska,"Bear Lake Township, Precinct 1",179,0,179
Donald J Trump,President,,REP,Kalkaska,"Bear Lake Township, Precinct 1",322,0,322
Jo Jorgensen,President,,LIB,Kalkaska,"Bear Lake Township, Precinct 1",5,0,5
Don Blankenship,President,,UST,Kalkaska,"Bear Lake Township, Precinct 1",1,0,1
Howie Hawkins,President,,GRN,Kalkaska,"Bear Lake Township, Precinct 1",0,0,0
Rocky De La Fuente,President,,NLP,Kalkaska,"Bear Lake Township, Precinct 1",1,0,1
Gary Peters,U.S. Senate,,DEM,Kalkaska,"Bear Lake Township, Precinct 1",178,0,178
John James,U.S. Senate,,REP,Kalkaska,"Bear Lake Township, Precinct 1",321,0,321
Valerie L Willis,U.S. Senate,,UST,Kalkaska,"Bear Lake Township, Precinct 1",2,0,2
Marcia Squier,U.S. Senate,,GRN,Kalkaska,"Bear Lake Township, Precinct 1",1,0,1
Doug Dern,U.S. Senate,,NLP,Kalkaska,"Bear Lake Township, Precinct 1",1,0,1
Dana Ferguson,U.S. House,1,DEM,Kalkaska,"Bear Lake Township, Precinct 1",155,0,155
Jack Bergman,U.S. House,1,REP,Kalkaska,"Bear Lake Township, Precinct 1",337,0,337
Ben Boren,U.S. House,1,LIB,Kalkaska,"Bear Lake Township, Precinct 1",5,0,5
Zach Larson,State House,103,DEM,Kalkaska,"Bear Lake Township, Precinct 1",161,0,161
Daire Rendon,State House,103,REP,Kalkaska,"Bear Lake Township, Precinct 1",330,0,330
Registered Voters,,,,Kalkaska,"Blue Lake Township, Precinct 1",,,432
Ballots Cast,,,,Kalkaska,"Blue Lake Township, Precinct 1",325,0,325
,Straight Party,,DEM,Kalkaska,"Blue Lake Township, Precinct 1",57,0,57
,Straight Party,,REP,Kalkaska,"Blue Lake Township, Precinct 1",123,0,123
,Straight Party,,LIB,Kalkaska,"Blue Lake Township, Precinct 1",0,0,0
,Straight Party,,UST,Kalkaska,"Blue Lake Township, Precinct 1",1,0,1
,Straight Party,,WCP,Kalkaska,"Blue Lake Township, Precinct 1",0,0,0
,Straight Party,,GRN,Kalkaska,"Blue Lake Township, Precinct 1",0,0,0
,Straight Party,,NLP,Kalkaska,"Blue Lake Township, Precinct 1",0,0,0
Joseph R Biden,President,,DEM,Kalkaska,"Blue Lake Township, Precinct 1",134,0,134
Donald J Trump,President,,REP,Kalkaska,"Blue Lake Township, Precinct 1",185,0,185
Jo Jorgensen,President,,LIB,Kalkaska,"Blue Lake Township, Precinct 1",2,0,2
Don Blankenship,President,,UST,Kalkaska,"Blue Lake Township, Precinct 1",0,0,0
Howie Hawkins,President,,GRN,Kalkaska,"Blue Lake Township, Precinct 1",2,0,2
Rocky De La Fuente,President,,NLP,Kalkaska,"Blue Lake Township, Precinct 1",0,0,0
Gary Peters,U.S. Senate,,DEM,Kalkaska,"Blue Lake Township, Precinct 1",136,0,136
John James,U.S. Senate,,REP,Kalkaska,"Blue Lake Township, Precinct 1",185,0,185
Valerie L Willis,U.S. Senate,,UST,Kalkaska,"Blue Lake Township, Precinct 1",0,0,0
Marcia Squier,U.S. Senate,,GRN,Kalkaska,"Blue Lake Township, Precinct 1",3,0,3
Doug Dern,U.S. Senate,,NLP,Kalkaska,"Blue Lake Township, Precinct 1",0,0,0
Dana Ferguson,U.S. House,1,DEM,Kalkaska,"Blue Lake Township, Precinct 1",113,0,113
Jack Bergman,U.S. House,1,REP,Kalkaska,"Blue Lake Township, Precinct 1",204,0,204
Ben Boren,U.S. House,1,LIB,Kalkaska,"Blue Lake Township, Precinct 1",4,0,4
Zach Larson,State House,103,DEM,Kalkaska,"Blue Lake Township, Precinct 1",117,0,117
Daire Rendon,State House,103,REP,Kalkaska,"Blue Lake Township, Precinct 1",195,0,195
Registered Voters,,,,Kalkaska,"Boardman Township, Precinct 1",,,1390
Ballots Cast,,,,Kalkaska,"Boardman Township, Precinct 1",847,0,847
,Straight Party,,DEM,Kalkaska,"Boardman Township, Precinct 1",112,0,112
,Straight Party,,REP,Kalkaska,"Boardman Township, Precinct 1",351,0,351
,Straight Party,,LIB,Kalkaska,"Boardman Township, Precinct 1",1,0,1
,Straight Party,,UST,Kalkaska,"Boardman Township, Precinct 1",2,0,2
,Straight Party,,WCP,Kalkaska,"Boardman Township, Precinct 1",1,0,1
,Straight Party,,GRN,Kalkaska,"Boardman Township, Precinct 1",1,0,1
,Straight Party,,NLP,Kalkaska,"Boardman Township, Precinct 1",0,0,0
Joseph R Biden,President,,DEM,Kalkaska,"Boardman Township, Precinct 1",217,0,217
Donald J Trump,President,,REP,Kalkaska,"Boardman Township, Precinct 1",620,0,620
Jo Jorgensen,President,,LIB,Kalkaska,"Boardman Township, Precinct 1",5,0,5
Don Blankenship,President,,UST,Kalkaska,"Boardman Township, Precinct 1",1,0,1
Howie Hawkins,President,,GRN,Kalkaska,"Boardman Township, Precinct 1",1,0,1
Rocky De La Fuente,President,,NLP,Kalkaska,"Boardman Township, Precinct 1",0,0,0
Gary Peters,U.S. Senate,,DEM,Kalkaska,"Boardman Township, Precinct 1",218,0,218
John James,U.S. Senate,,REP,Kalkaska,"Boardman Township, Precinct 1",611,0,611
Valerie L Willis,U.S. Senate,,UST,Kalkaska,"Boardman Township, Precinct 1",3,0,3
Marcia Squier,U.S. Senate,,GRN,Kalkaska,"Boardman Township, Precinct 1",6,0,6
Doug Dern,U.S. Senate,,NLP,Kalkaska,"Boardman Township, Precinct 1",1,0,1
Dana Ferguson,U.S. House,1,DEM,Kalkaska,"Boardman Township, Precinct 1",201,0,201
Jack Bergman,U.S. House,1,REP,Kalkaska,"Boardman Township, Precinct 1",626,0,626
Ben Boren,U.S. House,1,LIB,Kalkaska,"Boardman Township, Precinct 1",7,0,7
Zach Larson,State House,103,DEM,Kalkaska,"Boardman Township, Precinct 1",217,0,217
Daire Rendon,State House,103,REP,Kalkaska,"Boardman Township, Precinct 1",603,0,603
Registered Voters,,,,Kalkaska,"Clearwater Township, Precinct 1",,,2315
Ballots Cast,,,,Kalkaska,"Clearwater Township, Precinct 1",1621,0,1621
,Straight Party,,DEM,Kalkaska,"Clearwater Township, Precinct 1",238,0,238
,Straight Party,,REP,Kalkaska,"Clearwater Township, Precinct 1",615,0,615
,Straight Party,,LIB,Kalkaska,"Clearwater Township, Precinct 1",6,0,6
,Straight Party,,UST,Kalkaska,"Clearwater Township, Precinct 1",1,0,1
,Straight Party,,WCP,Kalkaska,"Clearwater Township, Precinct 1",7,0,7
,Straight Party,,GRN,Kalkaska,"Clearwater Township, Precinct 1",3,0,3
,Straight Party,,NLP,Kalkaska,"Clearwater Township, Precinct 1",1,0,1
Joseph R Biden,President,,DEM,Kalkaska,"Clearwater Township, Precinct 1",518,0,518
Donald J Trump,President,,REP,Kalkaska,"Clearwater Township, Precinct 1",1070,0,1070
Jo Jorgensen,President,,LIB,Kalkaska,"Clearwater Township, Precinct 1",20,0,20
Don Blankenship,President,,UST,Kalkaska,"Clearwater Township, Precinct 1",1,0,1
Howie Hawkins,President,,GRN,Kalkaska,"Clearwater Township, Precinct 1",6,0,6
Rocky De La Fuente,President,,NLP,Kalkaska,"Clearwater Township, Precinct 1",1,0,1
Gary Peters,U.S. Senate,,DEM,Kalkaska,"Clearwater Township, Precinct 1",525,0,525
John James,U.S. Senate,,REP,Kalkaska,"Clearwater Township, Precinct 1",1047,0,1047
Valerie L Willis,U.S. Senate,,UST,Kalkaska,"Clearwater Township, Precinct 1",18,0,18
Marcia Squier,U.S. Senate,,GRN,Kalkaska,"Clearwater Township, Precinct 1",9,0,9
Doug Dern,U.S. Senate,,NLP,Kalkaska,"Clearwater Township, Precinct 1",3,0,3
Dana Ferguson,U.S. House,1,DEM,Kalkaska,"Clearwater Township, Precinct 1",473,0,473
Jack Bergman,U.S. House,1,REP,Kalkaska,"Clearwater Township, Precinct 1",1094,0,1094
Ben Boren,U.S. House,1,LIB,Kalkaska,"Clearwater Township, Precinct 1",27,0,27
Zach Larson,State House,103,DEM,Kalkaska,"Clearwater Township, Precinct 1",500,0,500
Daire Rendon,State House,103,REP,Kalkaska,"Clearwater Township, Precinct 1",1060,0,1060
Registered Voters,,,,Kalkaska,"Coldsprings Township, Precinct 1",,,1334
Ballots Cast,,,,Kalkaska,"Coldsprings Township, Precinct 1",498,464,962
,Straight Party,,DEM,Kalkaska,"Coldsprings Township, Precinct 1",32,107,139
,Straight Party,,REP,Kalkaska,"Coldsprings Township, Precinct 1",250,158,408
,Straight Party,,LIB,Kalkaska,"Coldsprings Township, Precinct 1",2,0,2
,Straight Party,,UST,Kalkaska,"Coldsprings Township, Precinct 1",1,0,1
,Straight Party,,WCP,Kalkaska,"Coldsprings Township, Precinct 1",0,2,2
,Straight Party,,GRN,Kalkaska,"Coldsprings Township, Precinct 1",0,0,0
,Straight Party,,NLP,Kalkaska,"Coldsprings Township, Precinct 1",0,1,1
Joseph R Biden,President,,DEM,Kalkaska,"Coldsprings Township, Precinct 1",78,204,282
Donald J Trump,President,,REP,Kalkaska,"Coldsprings Township, Precinct 1",407,250,657
Jo Jorgensen,President,,LIB,Kalkaska,"Coldsprings Township, Precinct 1",8,6,14
Don Blankenship,President,,UST,Kalkaska,"Coldsprings Township, Precinct 1",1,1,2
Howie Hawkins,President,,GRN,Kalkaska,"Coldsprings Township, Precinct 1",0,0,0
Rocky De La Fuente,President,,NLP,Kalkaska,"Coldsprings Township, Precinct 1",0,0,0
Gary Peters,U.S. Senate,,DEM,Kalkaska,"Coldsprings Township, Precinct 1",79,204,283
John James,U.S. Senate,,REP,Kalkaska,"Coldsprings Township, Precinct 1",405,241,646
Valerie L Willis,U.S. Senate,,UST,Kalkaska,"Coldsprings Township, Precinct 1",7,3,10
Marcia Squier,U.S. Senate,,GRN,Kalkaska,"Coldsprings Township, Precinct 1",0,2,2
Doug Dern,U.S. Senate,,NLP,Kalkaska,"Coldsprings Township, Precinct 1",4,3,7
Dana Ferguson,U.S. House,1,DEM,Kalkaska,"Coldsprings Township, Precinct 1",78,179,257
Jack Bergman,U.S. House,1,REP,Kalkaska,"Coldsprings Township, Precinct 1",398,274,672
Ben Boren,U.S. House,1,LIB,Kalkaska,"Coldsprings Township, Precinct 1",15,1,16
Zach Larson,State House,103,DEM,Kalkaska,"Coldsprings Township, Precinct 1",89,193,282
Daire Rendon,State House,103,REP,Kalkaska,"Coldsprings Township, Precinct 1",385,256,641
Registered Voters,,,,Kalkaska,"Excelsior Township, Precinct 1",,,802
Ballots Cast,,,,Kalkaska,"Excelsior Township, Precinct 1",550,0,550
,Straight Party,,DEM,Kalkaska,"Excelsior Township, Precinct 1",68,0,68
,Straight Party,,REP,Kalkaska,"Excelsior Township, Precinct 1",242,0,242
,Straight Party,,LIB,Kalkaska,"Excelsior Township, Precinct 1",3,0,3
,Straight Party,,UST,Kalkaska,"Excelsior Township, Precinct 1",1,0,1
,Straight Party,,WCP,Kalkaska,"Excelsior Township, Precinct 1",3,0,3
,Straight Party,,GRN,Kalkaska,"Excelsior Township, Precinct 1",1,0,1
,Straight Party,,NLP,Kalkaska,"Excelsior Township, Precinct 1",1,0,1
Joseph R Biden,President,,DEM,Kalkaska,"Excelsior Township, Precinct 1",141,0,141
Donald J Trump,President,,REP,Kalkaska,"Excelsior Township, Precinct 1",401,0,401
Jo Jorgensen,President,,LIB,Kalkaska,"Excelsior Township, Precinct 1",3,0,3
Don Blankenship,President,,UST,Kalkaska,"Excelsior Township, Precinct 1",2,0,2
Howie Hawkins,President,,GRN,Kalkaska,"Excelsior Township, Precinct 1",0,0,0
Rocky De La Fuente,President,,NLP,Kalkaska,"Excelsior Township, Precinct 1",2,0,2
Gary Peters,U.S. Senate,,DEM,Kalkaska,"Excelsior Township, Precinct 1",149,0,149
John James,U.S. Senate,,REP,Kalkaska,"Excelsior Township, Precinct 1",388,0,388
Valerie L Willis,U.S. Senate,,UST,Kalkaska,"Excelsior Township, Precinct 1",1,0,1
Marcia Squier,U.S. Senate,,GRN,Kalkaska,"Excelsior Township, Precinct 1",0,0,0
Doug Dern,U.S. Senate,,NLP,Kalkaska,"Excelsior Township, Precinct 1",2,0,2
Dana Ferguson,U.S. House,1,DEM,Kalkaska,"Excelsior Township, Precinct 1",127,0,127
Jack Bergman,U.S. House,1,REP,Kalkaska,"Excelsior Township, Precinct 1",406,0,406
Ben Boren,U.S. House,1,LIB,Kalkaska,"Excelsior Township, Precinct 1",7,0,7
Zach Larson,State House,103,DEM,Kalkaska,"Excelsior Township, Precinct 1",138,0,138
Daire Rendon,State House,103,REP,Kalkaska,"Excelsior Township, Precinct 1",385,0,385
Registered Voters,,,,Kalkaska,"Garfield Township, Precinct 1",,,805
Ballots Cast,,,,Kalkaska,"Garfield Township, Precinct 1",584,0,584
,Straight Party,,DEM,Kalkaska,"Garfield Township, Precinct 1",64,0,64
,Straight Party,,REP,Kalkaska,"Garfield Township, Precinct 1",251,0,251
,Straight Party,,LIB,Kalkaska,"Garfield Township, Precinct 1",2,0,2
,Straight Party,,UST,Kalkaska,"Garfield Township, Precinct 1",2,0,2
,Straight Party,,WCP,Kalkaska,"Garfield Township, Precinct 1",2,0,2
,Straight Party,,GRN,Kalkaska,"Garfield Township, Precinct 1",1,0,1
,Straight Party,,NLP,Kalkaska,"Garfield Township, Precinct 1",0,0,0
Joseph R Biden,President,,DEM,Kalkaska,"Garfield Township, Precinct 1",155,0,155
Donald J Trump,President,,REP,Kalkaska,"Garfield Township, Precinct 1",417,0,417
